0,1116
1,1116
2,1113
3,1121
4,1221
5,1085
6,1083
7,1082
8,1034
9,1083
10,1065
11,1123
12,1321
13,1188
14,1064
15,1069
16,1004
17,1074
18,1092
19,1083
20,1082
21,1101
22,1347
23,105
24,1029
25,1079
26,1073
27,1158
28,1056
29,1092
30,1147
31,1036
32,1004
33,1068
34,1108
35,1061
36,1097
37,1077
38,1076
39,1092
40,1202
41,1089
42,1045
43,1084
44,1074
45,1088
46,1074
47,1077
48,1054
49,1175
50,1101
51,1085
52,105
53,1077
54,1078
55,1066
56,1018
57,1082
58,1113
59,109
60,1084
61,1087
62,1113
63,1068
64,991
65,1053
66,1069
67,1261
68,1081
69,1049
70,1066
71,1078
72,98
73,1058
74,1082
75,1052
76,1067
77,1331
78,1091
79,1026
80,1025
81,1052
82,1039
83,1036
84,1129
85,1037
86,1105
87,1221
88,988
89,1034
90,2032
91,1022
92,1022
93,1029
94,1061
95,1064
96,954
97,1038
98,1027
99,1045
100,1095
101,1069
102,107
103,1074
104,1065
105,108
106,1265
107,1128
108,1064
109,1069
110,1086
111,1065
112,1093
113,1113
114,1085
115,1093
116,1232
117,1161
118,1082
119,1085
120,1099
121,1086
122,112
123,1066
124,1067
125,1087
126,1177
127,1089
128,1008
129,107
130,1075
131,1082
132,1071
133,1177
134,1088
135,1104
136,989
137,106
138,1064
139,1062
140,106
141,1087
142,1047
143,1047
144,1004
145,1059
146,1072
147,1128
148,113
149,1047
150,1046
151,1049
152,1027
153,1029
154,1054
155,1044
156,1093
157,1009
158,1042
159,1039
160,989
161,1077
162,1007
163,1043
164,1006
165,1046
166,1029
167,133
168,957
169,1009
170,1013
171,1061
172,1019
173,1035
174,1021
175,115
176,106
177,1077
178,1068
179,1028
180,1041
181,1008
182,1065
183,1054
184,974
185,1058
186,1187
187,1044
188,1034
189,1018
190,1034
191,1036
192,985
193,1029
194,1024
195,1049
196,1245
197,1059
198,1021
199,104
200,972
201,1024
202,1021
203,1028
204,1021
205,1185
206,1043
207,1023
208,979
209,994
210,1025
211,1028
212,1025
213,1028
214,1016
215,1037
216,1128
217,1253
218,1023
219,1026
220,1023
221,1033
222,1029
223,1022
224,984
225,1054
226,999
227,1044
228,1022
229,1027
230,1018
231,1007
232,992
233,1027
234,1031
235,1023
236,1104
237,1235
238,1323
239,1028
240,98
241,102
242,1027
243,1035
244,1029
245,1028
246,1109
247,1009
248,975
249,102
250,1023
251,1031
252,1028
253,1028
254,1019
255,1021
256,986
257,1274
258,1024
259,1037
260,1026
261,1048
262,1032
263,1043
264,1005
265,1029
266,1081
267,993
268,1019
269,1059
270,1018
271,1032
272,963
273,1033
274,1014
275,1021
276,1057
277,1083
278,117
279,1064
280,983
281,1043
282,1051
283,1044
284,1045
285,1043
286,1048
287,1264
288,966
289,1046
290,1033
291,1059
292,1094
293,1022
294,1033
295,1047
296,1076
297,1004
298,1109
299,1059
300,1034
301,103
302,1015
303,1014
304,969
305,1092
306,1167
307,1214
308,986
309,1023
310,1067
311,1043
312,995
313,1035
314,1037
315,1211
